"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -2.925675207,      -3.030139892,      -3.765630153,       -3.43751936,           17.5875,      0.1304789175,      0.3382480771,   -0.000558660541,     0.06658776219,     -0.2895837152,    -0.02383842001,      0.1304789175,   -0.000558660541,      0.3382480771,       2.592358089
          0,           0,           1,      -2.514147449,      -2.226424848,      -2.794070076,      -2.447095428,           17.5875,     0.09791854636,      0.3831353311,  -0.0009645738552,     0.07397264623,     -0.3251980453,    -0.02600695391,     0.09791854636,  -0.0009645738552,      0.3831353311,       3.912796353
          0,           0,           2,      -2.703763112,      -2.421252611,      -3.029218586,      -2.615839324,           17.5875,      0.0541852258,      0.3711828819,   -0.001211018998,      0.1046460455,     -0.3077679221,    -0.02974841284,      0.0541852258,   -0.001211018998,      0.3711828819,       6.850259945
          0,           0,           3,      -2.867464529,      -2.529251251,      -3.104287272,      -2.660072773,           17.5875,     0.02355482614,      0.3494145217,   -0.001422162826,      0.1405158938,     -0.2852859568,    -0.03707404704,     0.02355482614,   -0.001422162826,      0.3494145217,        14.8340947
          0,           0,           4,      -3.030598574,      -2.608963239,      -3.172992695,      -2.718532176,           17.5875,     0.00757424136,      0.3260523493,     -0.0016068753,      0.1580425182,     -0.2617537967,    -0.04125368883,     0.00757424136,     -0.0016068753,      0.3260523493,       43.04752566
          0,           0,           5,      -3.115804069,       -2.65677465,      -3.241028498,       -2.77598385,           17.5875,    0.003352670387,      0.3073500834,   -0.001720968176,       0.158454899,     -0.2443946385,    -0.04122117348,    0.003352670387,   -0.001720968176,      0.3073500834,       91.67321804
          0,           0,           6,      -3.187617404,      -2.698599142,      -3.320191887,      -2.830707272,           17.5875,    0.003983182859,      0.2886863283,   -0.001742429625,      0.1544251352,     -0.2259040399,    -0.04223707592,    0.003983182859,   -0.001742429625,      0.2886863283,       72.47629308
          0,           0,           7,      -3.232602121,      -2.733973054,      -3.386281107,      -2.876156929,           17.5875,    0.008099810818,      0.2761989486,   -0.001623906864,      0.1441546486,     -0.2154344276,    -0.03978667861,    0.008099810818,   -0.001623906864,      0.2761989486,       34.09943204
          0,           0,           8,      -3.267346207,      -2.764881813,      -3.438746315,      -2.915115616,           17.5875,     0.01206653917,      0.2665746137,    -0.00145187673,      0.1290337362,     -0.2068987221,    -0.03711488099,     0.01206653917,    -0.00145187673,      0.2665746137,       22.09205223
          0,           0,           9,      -3.297789086,      -2.792822076,      -3.474164102,      -2.954298655,           17.5875,     0.01556282825,      0.2619928981,   -0.001273852677,      0.1192076285,     -0.2039423125,    -0.03466221789,     0.01556282825,   -0.001273852677,      0.2619928981,       16.83452994
